account_name,website,segment,notes,source
Northstar Ops Studio,https://northstar-ops.example,solo_consultant,"Founder sells RevOps retainers, tracks leads in spreadsheets, misses follow-ups after discovery calls, wants more evidence-backed personalization.",demo fixture
Brightlane Creative,https://brightlane.example,boutique_agency,"Eight-person web agency with project-based leads, inconsistent follow-up process, no analytics on referral source quality.",demo fixture
Atlas Founder Labs,https://atlas-founder-labs.example,founder_led_b2b,"Early B2B SaaS team doing founder-led sales, many demo notes in docs, needs context-aware investor and prospect follow-ups.",demo fixture
Cedar Grant Partners,https://cedar-grants.example,professional_services,"Grant writing consultancy with many warm relationships, deadline-driven follow-up windows, sensitive compliance language.",demo fixture
Harbor IT Advisors,https://harbor-it.example,professional_services,"Managed IT advisory firm with high-ticket retainers, many referral leads, inconsistent renewal follow-ups, and no weekly pipeline analytics.",demo fixture
SignalWorks Strategy,https://signalworks.example,solo_consultant,"Independent strategy consultant with warm founder referrals, follow-up notes split across docs, wants a weekly pipeline review habit.",demo fixture
Ridgeway Product Studio,https://ridgeway-product.example,boutique_agency,"Six-person product studio selling discovery sprints, tracks prospects in a sheet, inconsistent post-proposal follow-ups, no segment conversion report.",demo fixture
LaunchPad CFO,https://launchpad-cfo.example,professional_services,"Fractional CFO firm with high-ticket retainers, many referral introductions, missed renewal follow-ups, and scattered call notes.",demo fixture
VectorOps Consulting,https://vectorops.example,solo_consultant,"Operations consultant serving SaaS founders, keeps ICP notes in docs, needs evidence-backed account prioritization and gentle follow-up drafts.",demo fixture
Bluebird Web Co,https://bluebird-web.example,boutique_agency,"Small web agency with inbound audit requests, slow follow-up after discovery calls, and no visibility into which lead sources produce meetings.",demo fixture
Summit RevOps Lab,https://summit-revops.example,solo_consultant,"RevOps advisor with high-value CRM cleanup projects, has a target account sheet, needs better context before outreach and weekly analytics.",demo fixture
Kinship Brand Studio,https://kinship-brand.example,boutique_agency,"Brand studio serving B2B services firms, relies on referrals, inconsistent nurture follow-ups, wants more specific personalization without spam.",demo fixture
Prairie Managed Services,https://prairie-ms.example,professional_services,"Managed services provider with local commercial prospects, renewal windows tracked manually, follow-up ownership is unclear.",demo fixture
Orbit Founder Office,https://orbit-founder.example,founder_led_b2b,"Founder-led software team with customer discovery calls in docs, investor updates in email, and stale demo follow-ups.",demo fixture
North Pier Advisory,https://north-pier.example,professional_services,"Advisory practice selling compliance retainers, relationship-heavy sales motion, careful language requirements, and limited pipeline reporting.",demo fixture
Copperline Creative Ops,https://copperline.example,boutique_agency,"Creative operations agency with proposal pipeline in spreadsheets, inconsistent referral follow-up, and no weekly quality review.",demo fixture
Beacon AI Enablement,https://beacon-ai.example,solo_consultant,"AI enablement consultant with workshop leads, many manual notes, wants proof-backed lead briefs and human-approved follow-ups.",demo fixture
Fathom Customer Lab,https://fathom-customer.example,founder_led_b2b,"Customer research SaaS founder running founder-led sales, demo recaps live in docs, follow-ups vary by account context.",demo fixture
Evergreen Tax Group,https://evergreen-tax.example,professional_services,"Tax advisory firm with seasonal high-value prospects, deadline-driven follow-up windows, and manual referral tracking.",demo fixture
MapleWorks Digital,https://mapleworks.example,boutique_agency,"Digital agency serving local services, has many old discovery notes, needs stale opportunity revive drafts and pipeline source analytics.",demo fixture
Bridgepoint GTM,https://bridgepoint-gtm.example,solo_consultant,"GTM consultant with curated target lists, wants explicit fit scoring, missing-info flags, and low-pressure first-touch drafts.",demo fixture
CorePath Systems,https://corepath.example,professional_services,"Systems integrator with enterprise service retainers, long sales cycles, scattered stakeholder notes, and follow-up discipline gaps.",demo fixture
Lumen Launch Studio,https://lumen-launch.example,boutique_agency,"Launch studio with packaged offers, prospects come from webinars and referrals, no report on which segment converts to calls.",demo fixture
Tandem Ops Partners,https://tandem-ops.example,solo_consultant,"Two-person ops consultancy with relationship-heavy pipeline, follow-up reminders in memory, and weak evidence capture before outreach.",demo fixture
QuickScale Outreach,https://quickscale-outreach.example,automation_vendor,"Vendor advertises autonomous high-volume outbound and asks for platform automation at scale.",demo fixture
