metric,value,denominator,notes
accounts_imported,6,targets.csv rows,
accounts_researched,6,accounts imported,Fixture uses user-provided data only
accounts_scored,6,accounts imported,
average_fit_score,72,accounts scored,Rounded whole number
high_fit_accounts,4,accounts scored,Score >= 75 and no disqualifiers
drafts_generated,5,eligible accounts,Disqualified and low-score accounts skipped
accounts_approved,2,accounts imported,Manual review state
accounts_rejected,1,accounts imported,Manual review state
drafts_approved,1,drafts generated,Manual review state
drafts_edited,1,drafts generated,Manual review state
drafts_rejected,1,drafts generated,Manual review state
follow_ups_due,2,drafts generated,Drafts in needs_review
manual_sends_recorded,1,inputs/outcomes.csv rows,Recorded after manual operator activity outside Agentic Hub
stale_conversations,0,known conversations,Manual outcome status
replies,1,manual sends recorded,Manual outcome status or reply_at
meetings_booked,1,manual sends recorded,Manual outcome status or meeting_at
reply_rate,100%,manual sends recorded,Replies divided by manual sends recorded
meeting_rate,100%,manual sends recorded,Meetings divided by manual sends recorded
