type,id,name,status,score,band,signals,warnings
account,acct_01,Account 01,approved,100,strong,7 evidence; 1 contacts; 0 interactions; 86/100 fit; high,
account,acct_02,Account 02,approved,100,strong,7 evidence; 1 contacts; 1 interactions; 82/100 fit; high,
account,acct_03,Account 03,needs_review,93,strong,6 evidence; 1 contacts; 0 interactions; 86/100 fit; high,
account,acct_04,Account 04,needs_review,85,strong,6 evidence; 1 contacts; 1 interactions; 71/100 fit; high,
account,acct_05,Account 05,needs_review,93,strong,6 evidence; 1 contacts; 1 interactions; 79/100 fit; high,
account,acct_06,Account 06,needs_review,93,strong,6 evidence; 1 contacts; 1 interactions; 80/100 fit; high,
account,acct_07,Account 07,needs_review,93,strong,6 evidence; 1 contacts; 0 interactions; 82/100 fit; high,
account,acct_08,Account 08,needs_review,85,strong,6 evidence; 1 contacts; 0 interactions; 73/100 fit; high,
account,acct_09,Account 09,needs_review,88,strong,5 evidence; 1 contacts; 0 interactions; 80/100 fit; high,
account,acct_10,Account 10,needs_review,80,reviewable,5 evidence; 1 contacts; 0 interactions; 72/100 fit; high,
account,acct_11,Account 11,needs_review,68,needs work,5 evidence; 0 contacts; 0 interactions; 76/100 fit; high,missing local contact context
account,acct_12,Account 12,needs_review,73,reviewable,5 evidence; 0 contacts; 0 interactions; 84/100 fit; high,missing local contact context
account,acct_13,Account 13,needs_review,58,needs work,5 evidence; 0 contacts; 0 interactions; 63/100 fit; medium,missing local contact context
account,acct_14,Account 14,needs_review,73,reviewable,5 evidence; 0 contacts; 1 interactions; 78/100 fit; high,missing local contact context
account,acct_15,Account 15,needs_review,41,blocked,5 evidence; 0 contacts; 0 interactions; 59/100 fit; medium,low fit score or disqualified; missing local contact context
account,acct_16,Account 16,needs_review,73,reviewable,5 evidence; 0 contacts; 0 interactions; 82/100 fit; high,missing local contact context
account,acct_17,Account 17,needs_review,73,reviewable,5 evidence; 0 contacts; 0 interactions; 86/100 fit; high,missing local contact context
account,acct_18,Account 18,needs_review,73,reviewable,5 evidence; 0 contacts; 0 interactions; 78/100 fit; high,missing local contact context
account,acct_19,Account 19,needs_review,58,needs work,5 evidence; 0 contacts; 0 interactions; 69/100 fit; medium,missing local contact context
account,acct_20,Account 20,needs_review,68,needs work,5 evidence; 0 contacts; 1 interactions; 80/100 fit; high,missing local contact context
account,acct_21,Account 21,needs_review,60,needs work,5 evidence; 0 contacts; 0 interactions; 72/100 fit; high,missing local contact context
account,acct_22,Account 22,needs_review,58,needs work,5 evidence; 0 contacts; 0 interactions; 67/100 fit; medium,missing local contact context
account,acct_23,Account 23,needs_review,53,needs work,5 evidence; 0 contacts; 0 interactions; 68/100 fit; medium,missing local contact context
account,acct_24,Account 24,needs_review,65,needs work,5 evidence; 0 contacts; 0 interactions; 74/100 fit; high,missing local contact context
account,acct_25,Account 25,rejected,25,blocked,4 evidence; 0 contacts; 0 interactions; 28/100 fit; low,low fit score or disqualified; low confidence; missing local contact context; rejected by operator
draft,draft_01,Account 01,approved,96,strong,first_touch; 3 evidence; contact context; no prior context; 0 risk flags,
draft,draft_02,Account 02,superseded,70,reviewable,warm_follow_up; 3 evidence; contact context; prior context; 0 risk flags,
draft,draft_03,Account 03,needs_review,91,strong,first_touch; 3 evidence; contact context; no prior context; 0 risk flags,
draft,draft_04,Account 04,rejected,65,needs work,meeting_recap; 3 evidence; contact context; prior context; 0 risk flags,rejected by operator
draft,draft_05,Account 05,edited,91,strong,stale_opportunity_revive; 3 evidence; contact context; prior context; 0 risk flags,
draft,draft_06,Account 06,needs_review,91,strong,referral_request; 3 evidence; contact context; prior context; 0 risk flags,
draft,draft_07,Account 07,needs_review,91,strong,first_touch; 3 evidence; contact context; no prior context; 0 risk flags,
draft,draft_08,Account 08,needs_review,91,strong,first_touch; 3 evidence; contact context; no prior context; 0 risk flags,
draft,draft_09,Account 09,needs_review,95,strong,first_touch; 3 evidence; contact context; no prior context; 1 risk flags,
draft,draft_10,Account 10,needs_review,95,strong,first_touch; 3 evidence; contact context; no prior context; 1 risk flags,
draft,draft_11,Account 11,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_12,Account 12,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_13,Account 13,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_14,Account 14,needs_review,80,reviewable,meeting_recap; 3 evidence; no contact; prior context; 2 risk flags,missing contact context
draft,draft_15,Account 15,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_16,Account 16,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_17,Account 17,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_18,Account 18,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_19,Account 19,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_20,Account 20,needs_review,80,reviewable,stale_opportunity_revive; 3 evidence; no contact; prior context; 2 risk flags,missing contact context
draft,draft_21,Account 21,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_22,Account 22,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_23,Account 23,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 3 risk flags,missing contact context
draft,draft_24,Account 24,needs_review,80,reviewable,first_touch; 3 evidence; no contact; no prior context; 2 risk flags,missing contact context
draft,draft_25,Account 02,needs_review,91,strong,warm_follow_up; 3 evidence; contact context; prior context; 0 risk flags,
